Dim,Method,Value,Time
11,"tournament_selection, ordered_crossover, mutation_inverse",61,0.22
11,"tournament_selection, ordered_crossover, mutation_scramble",61,0.23
11,"rank_selection, pmx_crossover, mutation_swap",61,0.27
11,"rank_selection, pmx_crossover, mutation_inverse",61,0.27
11,"rank_selection, pmx_crossover, mutation_scramble",61,0.28
11,"rank_selection, ordered_crossover, mutation_swap",59,0.26
11,"rank_selection, ordered_crossover, mutation_inverse",59,0.27
11,"rank_selection, ordered_crossover, mutation_scramble",59,0.27
11,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",59,0.38
11,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",61,0.39
11,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",59,0.39
11,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",59,0.38
11,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",61,0.39
11,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",59,0.4
15,"tournament_selection, pmx_crossover, mutation_swap",127,0.28
15,"tournament_selection, pmx_crossover, mutation_inverse",127,0.29
15,"tournament_selection, pmx_crossover, mutation_scramble",127,0.34
15,"tournament_selection, ordered_crossover, mutation_swap",128,0.27
15,"tournament_selection, ordered_crossover, mutation_inverse",127,0.28
15,"tournament_selection, ordered_crossover, mutation_scramble",126,0.3
15,"rank_selection, pmx_crossover, mutation_swap",128,0.33
15,"rank_selection, pmx_crossover, mutation_inverse",129,0.36
15,"rank_selection, pmx_crossover, mutation_scramble",126,0.36
15,"rank_selection, ordered_crossover, mutation_swap",125,0.34
15,"rank_selection, ordered_crossover, mutation_inverse",125,0.35
15,"rank_selection, ordered_crossover, mutation_scramble",145,0.36
15,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",126,0.45
15,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",125,0.46
15,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",142,0.47
15,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",126,0.45
15,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",125,0.46
15,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",125,0.47
20,"tournament_selection, pmx_crossover, mutation_swap",523,0.39
20,"tournament_selection, pmx_crossover, mutation_inverse",517,0.48
20,"tournament_selection, pmx_crossover, mutation_scramble",517,0.47
20,"tournament_selection, ordered_crossover, mutation_swap",506,0.45
20,"tournament_selection, ordered_crossover, mutation_inverse",510,0.46
20,"tournament_selection, ordered_crossover, mutation_scramble",525,0.51
20,"rank_selection, pmx_crossover, mutation_swap",501,0.51
20,"rank_selection, pmx_crossover, mutation_inverse",500,0.54
20,"rank_selection, pmx_crossover, mutation_scramble",497,0.56
20,"rank_selection, ordered_crossover, mutation_swap",522,0.53
20,"rank_selection, ordered_crossover, mutation_inverse",515,0.53
20,"rank_selection, ordered_crossover, mutation_scramble",516,0.57
20,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",500,0.64
20,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",498,0.65
20,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",497,0.67
20,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",515,0.63
20,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",510,0.65
20,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",516,0.67
33,"tournament_selection, pmx_crossover, mutation_swap",2148,1.18
33,"tournament_selection, pmx_crossover, mutation_inverse",2134,1.12
33,"tournament_selection, pmx_crossover, mutation_scramble",2142,1.15
33,"tournament_selection, ordered_crossover, mutation_swap",2165,1.08
33,"tournament_selection, ordered_crossover, mutation_inverse",2140,1.08
33,"tournament_selection, ordered_crossover, mutation_scramble",2149,1.14
33,"rank_selection, pmx_crossover, mutation_swap",2119,1.14
33,"rank_selection, pmx_crossover, mutation_inverse",2127,1.19
33,"rank_selection, pmx_crossover, mutation_scramble",2141,1.22
33,"rank_selection, ordered_crossover, mutation_swap",2122,1.13
33,"rank_selection, ordered_crossover, mutation_inverse",2130,1.17
33,"rank_selection, ordered_crossover, mutation_scramble",2140,1.21
33,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",2151,1.25
33,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",2133,1.26
33,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",2135,1.36
33,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",2135,1.27
