Dim,Method,Value,Time
20,"shaking_swap, make_change_scramble, local_search_with_permutation",505,6.93
20,"shaking_inverse, make_change_swap, local_search",513,3.82
20,"shaking_inverse, make_change_swap, local_search_with_permutation",507,10.38
20,"shaking_inverse, make_change_inverse, local_search",498,3.5
20,"shaking_inverse, make_change_inverse, local_search_with_permutation",501,10.35
20,"shaking_inverse, make_change_scramble, local_search",511,4.65
20,"shaking_inverse, make_change_scramble, local_search_with_permutation",511,10.96
33,"shaking_swap, make_change_swap, local_search",2175,9.32
33,"shaking_swap, make_change_swap, local_search_with_permutation",2152,25.65
33,"shaking_swap, make_change_inverse, local_search",2260,10.22
33,"shaking_swap, make_change_inverse, local_search_with_permutation",2215,24.95
33,"shaking_swap, make_change_scramble, local_search",2130,10.72
33,"shaking_swap, make_change_scramble, local_search_with_permutation",2192,26.08
33,"shaking_inverse, make_change_swap, local_search",2134,16.45
33,"shaking_inverse, make_change_swap, local_search_with_permutation",2210,44.15
33,"shaking_inverse, make_change_inverse, local_search",2108,16.71
33,"shaking_inverse, make_change_inverse, local_search_with_permutation",2128,42.22
33,"shaking_inverse, make_change_scramble, local_search",2144,18.21
33,"shaking_inverse, make_change_scramble, local_search_with_permutation",2131,45.35
38,"shaking_swap, make_change_swap, local_search",3733,10.06
38,"shaking_swap, make_change_swap, local_search_with_permutation",3693,24.52
38,"shaking_swap, make_change_inverse, local_search",3785,10.06
38,"shaking_swap, make_change_inverse, local_search_with_permutation",3838,24.94
38,"shaking_swap, make_change_scramble, local_search",3701,10.87
38,"shaking_swap, make_change_scramble, local_search_with_permutation",3713,25.9
38,"shaking_inverse, make_change_swap, local_search",3646,13.58
38,"shaking_inverse, make_change_swap, local_search_with_permutation",3716,35.35
38,"shaking_inverse, make_change_inverse, local_search",3763,13.72
38,"shaking_inverse, make_change_inverse, local_search_with_permutation",3673,35.71
38,"shaking_inverse, make_change_scramble, local_search",3677,15.18
38,"shaking_inverse, make_change_scramble, local_search_with_permutation",3755,37.36
12,"shaking_swap, make_change_swap, local_search",241,0.35
12,"shaking_swap, make_change_swap, local_search_with_permutation",241,0.97
12,"shaking_swap, make_change_inverse, local_search",241,0.36
12,"shaking_swap, make_change_inverse, local_search_with_permutation",241,0.95
12,"shaking_swap, make_change_scramble, local_search",241,0.45
12,"shaking_swap, make_change_scramble, local_search_with_permutation",241,1.05
12,"shaking_inverse, make_change_swap, local_search",241,0.67
12,"shaking_inverse, make_change_swap, local_search_with_permutation",241,1.88
12,"shaking_inverse, make_change_inverse, local_search",241,0.69
12,"shaking_inverse, make_change_inverse, local_search_with_permutation",241,1.85
12,"shaking_inverse, make_change_scramble, local_search",241,0.87
12,"shaking_inverse, make_change_scramble, local_search_with_permutation",241,2.05
16,"shaking_swap, make_change_swap, local_search",560,0.88
16,"shaking_swap, make_change_swap, local_search_with_permutation",560,2.38
16,"shaking_swap, make_change_inverse, local_search",560,0.89
16,"shaking_swap, make_change_inverse, local_search_with_permutation",560,2.39
16,"shaking_swap, make_change_scramble, local_search",560,1.04
16,"shaking_swap, make_change_scramble, local_search_with_permutation",560,2.53
16,"shaking_inverse, make_change_swap, local_search",561,1.42
16,"shaking_inverse, make_change_swap, local_search_with_permutation",561,3.99
16,"shaking_inverse, make_change_inverse, local_search",560,1.47
16,"shaking_inverse, make_change_inverse, local_search_with_permutation",560,3.92
16,"shaking_inverse, make_change_scramble, local_search",560,1.73
16,"shaking_inverse, make_change_scramble, local_search_with_permutation",566,4.18
17,"shaking_swap, make_change_swap, local_search",667,1.31
17,"shaking_swap, make_change_swap, local_search_with_permutation",667,3.52
